Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20 0:00,
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20 0:00,
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20 0:00,
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20 0:00,
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20 0:00,
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20 0:00,
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20 0:00,
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20 0:00,
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20 0:00,
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20 0:00,
,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20 0:00,
,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20 0:00,
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20 0:00,
,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20 0:00,
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20 0:00,
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20 0:00,
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20 0:00,
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2021-09-20 0:00,
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2021-09-20 0:00,
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2021-09-20 0:00,
,Greg,McLean,Calgary Centre,Alberta,Conservative,2021-09-20 0:00,
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2021-09-20 0:00,
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2021-09-20 0:00,
,Eric,Melillo,Kenora,Ontario,Conservative,2021-09-20 0:00,
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2021-09-20 0:00,
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2021-09-20 0:00,
,Wilson,Miao,Richmond Centre,British Columbia,Liberal,2021-09-20 0:00,
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2021-09-20 0:00,
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2021-09-20 0:00,
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2021-09-20 0:00,
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2021-09-20 0:00,
,Mike,Morrice,Kitchener Centre,Ontario,Green Party,2021-09-20 0:00,
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2021-09-20 0:00,
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20 0:00,
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20 0:00,
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20 0:00,
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20 0:00,
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20 0:00,
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20 0:00,
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20 0:00,
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20 0:00,
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20 0:00,
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20 0:00,
Hon.,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20 0:00,
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,2021-09-20 0:00,
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20 0:00,
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20 0:00,
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20 0:00,
,Rick,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20 0:00,
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20 0:00,
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20 0:00,
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20 0:00,
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20 0:00,
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20 0:00,
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20 0:00,
,Alain,Rayes,Richmond—Arthabaska,Quebec,Independent,2021-09-20 0:00,
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20 0:00,
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20 0:00,
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20 0:00,
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2021-09-20 0:00,
,Anna,Roberts,King—Vaughan,Ontario,Conservative,2021-09-20 0:00,
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2021-09-20 0:00,
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2021-09-20 0:00,
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2021-09-20 0:00,
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2021-09-20 0:00,
Hon.,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2021-09-20 0:00,
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2021-09-20 0:00,
,Ruby,Sahota,Brampton North,Ontario,Liberal,2021-09-20 0:00,
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2021-09-20 0:00,
,Ya'ara,Saks,York Centre,Ontario,Liberal,2021-09-20 0:00,
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2021-09-20 0:00,
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2021-09-20 0:00,
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2021-09-20 0:00,
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2021-09-20 0:00,
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2021-09-20 0:00,
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2021-09-20 0:00,
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2021-09-20 0:00,
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2021-09-20 0:00,
,Marc,Serré,Nickel Belt,Ontario,Liberal,2021-09-20 0:00,
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2021-09-20 0:00,
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2021-09-20 0:00,
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2021-09-20 0:00,
,Martin,Shields,Bow River,Alberta,Conservative,2021-09-20 0:00,
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2021-09-20 0:00,
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2021-09-20 0:00,
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2021-09-20 0:00,
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2021-09-20 0:00,
,Nathalie,Sinclair-Desgagné,Terrebonne,Quebec,Bloc Québécois,2021-09-20 0:00,
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2021-09-20 0:00,
,Clifford,Small,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Conservative,2021-09-20 0:00,
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2021-09-20 0:00,
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2021-09-20 0:00,
,Charles,Sousa,Mississauga—Lakeshore,Ontario,Liberal,2022-12-12 0:00,
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2021-09-20 0:00,
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2021-09-20 0:00,
,Jake,Stewart,Miramichi—Grand Lake,New Brunswick,Conservative,2021-09-20 0:00,
Hon.,Pascale,St-Onge,Brome—Missisquoi,Quebec,Liberal,2021-09-20 0:00,
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2021-09-20 0:00,
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2021-09-20 0:00,
,Jenna,Sudds,Kanata—Carleton,Ontario,Liberal,2021-09-20 0:00,
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2021-09-20 0:00,
,Leah,Taylor Roy,Aurora—Oak Ridges—Richmond Hill,Ontario,Liberal,2021-09-20 0:00,
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2021-09-20 0:00,
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2021-09-20 0:00,
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2021-09-20 0:00,
,Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2021-09-20 0:00,
,Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2021-09-20 0:00,
